"marke";"erstzulassung";"kmstand";"kraftstoff";"hubraum";"ps";"haendler";"automatik";"besitzer"
"I";2015;90000;"Benzin";1197;83;"Nein";"Nein";"Erste Hand"
"J";2014;50000;"Benzin";796;47;"Nein";"Nein";"Zweite Hand"
"J";2013;120000;"Diesel";1248;75;"Nein";"Nein";"Mehr als zweite Hand"
"J";2009;100000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand"
"G";2018;5000;"Benzin";1199;85;"Nein";"Ja";"Erste Hand"
"F";2012;250000;"Diesel";2494;101;"Nein";"Nein";"Erste Hand"
"F";2013;80000;"Diesel";2494;102;"Nein";"Nein";"Zweite Hand"
"I";2016;35000;"Benzin";1197;83;"Nein";"Nein";"Erste Hand"
"J";2007;57000;"Benzin";796;47;"Nein";"Nein";"Erste Hand"
"I";2016;25000;"Benzin";1197;83;"Nein";"Nein";"Erste Hand"
"B";2012;90000;"Diesel";1461;85;"Nein";"Nein";"Zweite Hand"
"G";2008;110000;"Diesel";2179;140;"Nein";"Nein";"Erste Hand"
"I";2016;50000;"Diesel";1582;128;"Nein";"Nein";"Erste Hand"
"D";2014;140000;"Diesel";1498;91;"Nein";"Nein";"Zweite Hand"
"B";2016;60000;"Benzin";799;54;"Nein";"Nein";"Erste Hand"
"H";2019;17000;"Diesel";1497;123;"Ja";"Nein";"Erste Hand"
"E";2011;93500;"Benzin";1497;120;"Ja";"Nein";"Mehr als zweite Hand"
"J";2019;45000;"Benzin";1197;83;"Nein";"Ja";"Erste Hand"
"E";2016;56494;"Benzin";1199;90;"Ja";"Nein";"Erste Hand"
"J";2017;60000;"Diesel";1248;90;"Nein";"Nein";"Erste Hand"
"J";2017;28000;"Benzin";796;48;"Nein";"Nein";"Erste Hand"
"B";2011;43000;"Benzin";1997;137;"Ja";"Ja";"Erste Hand"
"J";2012;69000;"Benzin";1298;87;"Nein";"Nein";"Erste Hand"
"E";2016;16151;"Benzin";1497;119;"Ja";"Nein";"Erste Hand"
"C";2009;195000;"Diesel";2499;81;"Nein";"Nein";"Zweite Hand"
"D";2007;80000;"Benzin";1388;69;"Nein";"Nein";"Zweite Hand"
"J";2019;10000;"Benzin";1197;83;"Nein";"Nein";"Erste Hand"
"J";2011;125000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand"
"A";2012;80000;"Benzin";1198;75;"Nein";"Nein";"Erste Hand"
"F";2017;70000;"Diesel";2755;177;"Nein";"Ja";"Erste Hand"
"I";2016;100000;"Benzin";998;69;"Nein";"Nein";"Erste Hand"
"J";2013;67082;"Benzin";1197;83;"Ja";"Nein";"Zweite Hand"
"F";2014;95000;"Diesel";2494;102;"Ja";"Nein";"Erste Hand"
"C";2012;98000;"Diesel";936;58;"Nein";"Nein";"Erste Hand"
"B";2018;10800;"Benzin";799;54;"Nein";"Nein";"Erste Hand"
"G";2012;40000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand"
"J";2018;32600;"Diesel";1248;90;"Ja";"Nein";"Erste Hand"
"J";2017;10000;"Benzin";998;68;"Nein";"Nein";"Zweite Hand"
"J";2007;70000;"Benzin";796;47;"Nein";"Nein";"Erste Hand"
"F";2010;155000;"Diesel";2494;103;"Nein";"Nein";"Mehr als zweite Hand"
"J";2010;100000;"Diesel";1248;75;"Nein";"Nein";"Zweite Hand"
"F";2013;99000;"Diesel";2494;101;"Ja";"Nein";"Erste Hand"
"I";2015;35000;"Benzin";1591;123;"Nein";"Nein";"Erste Hand"
"I";2016;49900;"Benzin";1797;150;"Ja";"Nein";"Erste Hand"
"J";2012;77000;"Diesel";1248;75;"Nein";"Nein";"Zweite Hand"
"J";2007;110000;"Benzin";796;47;"Nein";"Nein";"Zweite Hand"
"E";2015;54700;"Diesel";1498;100;"Ja";"Nein";"Erste Hand"
"J";2012;110000;"Diesel";1248;90;"Nein";"Nein";"Zweite Hand"
"D";2011;170000;"Diesel";1399;69;"Nein";"Nein";"Zweite Hand"
"J";2019;25000;"Benzin";1197;83;"Nein";"Nein";"Erste Hand"
