"marke";"erstzulassung";"kmstand";"kraftstoff";"hubraum";"ps";"haendler";"automatik";"besitzer";"preis"
"H";2018;20000;"Diesel";2179;140;"Nein";"Ja";"Erste Hand";16500
"J";2017;50000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand";7645
"J";2006;40000;"Benzin";796;47;"Nein";"Nein";"Erste Hand";1100
"J";2014;74537;"Benzin";998;68;"Nein";"Nein";"Zweite Hand";3300
"G";2011;80000;"Diesel";1396;54;"Nein";"Nein";"Erste Hand";1100
"E";2013;100000;"Diesel";1498;100;"Nein";"Nein";"Erste Hand";4895
"I";2015;80000;"Diesel";1582;128;"Nein";"Nein";"Zweite Hand";6600
"I";2013;40000;"Benzin";814;56;"Nein";"Nein";"Erste Hand";2200
"D";2014;132000;"Diesel";1498;91;"Ja";"Nein";"Zweite Hand";5500
"D";2010;120000;"Diesel";1399;69;"Nein";"Nein";"Erste Hand";2200
"E";2016;56494;"Benzin";1199;90;"Ja";"Nein";"Erste Hand";6050
"J";2018;28000;"Benzin";1197;86;"Ja";"Nein";"Erste Hand";5390
"J";2017;47000;"Benzin";998;68;"Nein";"Nein";"Erste Hand";4510
"H";2012;80000;"Diesel";2179;142;"Nein";"Nein";"Mehr als zweite Hand";7150
"D";2006;114321;"Diesel";1399;69;"Nein";"Nein";"Zweite Hand";1980
"J";2012;70000;"Diesel";1248;75;"Nein";"Nein";"Mehr als zweite Hand";4180
"G";2013;60000;"Diesel";1396;70;"Nein";"Nein";"Zweite Hand";2508
"G";2009;150000;"Diesel";2179;140;"Nein";"Nein";"Erste Hand";4180
"I";2015;50000;"Diesel";1396;90;"Nein";"Nein";"Erste Hand";7865
"I";2017;56290;"Diesel";1186;75;"Ja";"Nein";"Erste Hand";4950
"G";2017;40000;"Benzin";1199;85;"Nein";"Nein";"Erste Hand";5720
"I";2019;80000;"Benzin";1197;83;"Nein";"Ja";"Erste Hand";6435
"I";2007;90000;"Benzin";1086;64;"Nein";"Nein";"Mehr als zweite Hand";1815
"I";2014;125000;"Diesel";1582;128;"Nein";"Nein";"Erste Hand";6600
"E";2016;110000;"Diesel";1498;100;"Nein";"Nein";"Erste Hand";7700
"D";2010;110000;"Diesel";1399;69;"Nein";"Nein";"Mehr als zweite Hand";2750
"J";2015;25000;"Benzin";998;68;"Nein";"Nein";"Erste Hand";3850
"J";2017;65000;"Diesel";1248;90;"Nein";"Nein";"Erste Hand";9900
"J";2013;150000;"Benzin";1197;87;"Nein";"Nein";"Zweite Hand";3575
"J";2007;100000;"Benzin";1061;68;"Nein";"Nein";"Mehr als zweite Hand";1375
"C";2010;40000;"Benzin";1199;81;"Nein";"Nein";"Zweite Hand";1320
"J";2016;108000;"Diesel";1248;90;"Ja";"Nein";"Erste Hand";7425
"H";2010;120000;"Diesel";2489;96;"Nein";"Nein";"Zweite Hand";3300
"B";2014;90000;"Diesel";1461;110;"Nein";"Nein";"Zweite Hand";6820
"I";2015;72000;"Diesel";1396;90;"Ja";"Nein";"Erste Hand";6435
"H";2014;75000;"Diesel";2179;142;"Ja";"Nein";"Erste Hand";9350
"J";1998;80000;"Benzin";796;38;"Nein";"Nein";"Mehr als zweite Hand";495
"J";2019;25000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand";7425
"H";2011;110000;"Diesel";2179;142;"Nein";"Nein";"Zweite Hand";6325
"I";2014;60000;"Benzin";1197;83;"Nein";"Nein";"Erste Hand";4125
"B";2017;38000;"Benzin";999;68;"Nein";"Nein";"Erste Hand";3575
"J";2004;113000;"Benzin";796;47;"Nein";"Nein";"Zweite Hand";660
"F";2016;30000;"Diesel";2755;174;"Nein";"Ja";"Erste Hand";19800
"I";2012;51856;"Benzin";1197;81;"Ja";"Nein";"Mehr als zweite Hand";3520
"J";2020;1000;"Benzin";1197;83;"Nein";"Ja";"Erste Hand";7194
"F";2016;90000;"Diesel";2755;177;"Nein";"Ja";"Erste Hand";34100
"J";2017;36000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand";7370
"J";2019;10000;"Benzin";1197;83;"Nein";"Nein";"Erste Hand";5500
"D";2012;90165;"Diesel";1399;68;"Ja";"Nein";"Erste Hand";4950
"H";2011;100000;"Diesel";2523;63;"Nein";"Nein";"Erste Hand";4400
"D";2019;9500;"Benzin";1196;88;"Nein";"Nein";"Erste Hand";5830
"J";2015;100000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand";6600
"C";2012;60000;"Diesel";936;58;"Nein";"Nein";"Zweite Hand";1320
"A";2019;30000;"Benzin";999;76;"Nein";"Nein";"Zweite Hand";6050
"D";2010;30000;"Benzin";1196;71;"Nein";"Nein";"Erste Hand";4400
"J";2017;59500;"Benzin";998;68;"Nein";"Nein";"Zweite Hand";4631
"F";2013;100000;"Benzin";1496;90;"Nein";"Nein";"Zweite Hand";3850
"A";2019;36800;"Diesel";1498;89;"Ja";"Nein";"Erste Hand";7645
"C";2007;60000;"Benzin";1150;77;"Nein";"Nein";"Mehr als zweite Hand";1100
"J";2012;100000;"Benzin";1197;87;"Nein";"Nein";"Zweite Hand";3960
"H";2018;20000;"Diesel";2179;122;"Nein";"Nein";"Erste Hand";9350
"F";2007;260000;"Diesel";2494;103;"Nein";"Nein";"Mehr als zweite Hand";6600
"E";2019;7032;"Benzin";1199;90;"Ja";"Ja";"Erste Hand";8569
"I";2008;120000;"Benzin";1341;84;"Nein";"Nein";"Zweite Hand";1210
"J";2013;79139;"Benzin";1197;87;"Ja";"Nein";"Erste Hand";3740
"I";2008;128000;"Benzin";1086;63;"Nein";"Nein";"Erste Hand";1155
"J";2012;110000;"Diesel";1248;75;"Nein";"Nein";"Zweite Hand";4730
"D";2017;62960;"Diesel";1498;100;"Ja";"Nein";"Erste Hand";5500
"J";2015;50000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand";6600
"I";2015;40000;"Diesel";1396;90;"Nein";"Nein";"Erste Hand";6050
"B";2015;125000;"Diesel";1461;85;"Nein";"Nein";"Erste Hand";6600
"J";2010;120000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand";2387
"J";2018;69779;"Benzin";1197;83;"Ja";"Ja";"Erste Hand";6600
"H";2011;105000;"Diesel";1461;66;"Nein";"Nein";"Zweite Hand";2530
"E";2017;50000;"Diesel";1498;100;"Nein";"Nein";"Erste Hand";7370
"C";2013;56000;"Diesel";1248;75;"Ja";"Nein";"Erste Hand";2706
"G";2013;120000;"Diesel";1248;75;"Nein";"Nein";"Zweite Hand";2090
"E";2016;68000;"Benzin";1198;88;"Nein";"Nein";"Erste Hand";4400
"J";2018;25000;"Diesel";1248;90;"Nein";"Nein";"Erste Hand";10450
"J";2011;110000;"Benzin";1196;74;"Nein";"Nein";"Zweite Hand";1980
"J";2010;105000;"Benzin";796;47;"Nein";"Nein";"Erste Hand";1452
"J";2015;35000;"Benzin";1373;95;"Nein";"Nein";"Erste Hand";7700
"A";2011;100000;"Diesel";1598;105;"Nein";"Nein";"Zweite Hand";3300
"I";2013;60000;"Benzin";814;56;"Nein";"Nein";"Erste Hand";1980
"D";2006;201000;"Diesel";1399;69;"Nein";"Nein";"Erste Hand";605
"I";2010;70000;"Benzin";1197;80;"Nein";"Nein";"Zweite Hand";1980
"E";2019;7032;"Benzin";1199;90;"Ja";"Ja";"Erste Hand";8569
"G";2011;90000;"Diesel";1248;91;"Ja";"Nein";"Erste Hand";2090
"J";2018;25000;"Benzin";796;35;"Nein";"Nein";"Erste Hand";2200
"I";2018;60000;"Benzin";1591;123;"Nein";"Nein";"Erste Hand";12100
"J";2016;23700;"Benzin";1197;83;"Nein";"Nein";"Erste Hand";5170
"G";2015;155000;"Diesel";1248;75;"Nein";"Nein";"Zweite Hand";2750
"F";2016;68089;"Benzin";2494;160;"Ja";"Ja";"Erste Hand";22000
"J";2010;30000;"Benzin";796;47;"Nein";"Nein";"Mehr als zweite Hand";1815
"J";2018;15000;"Benzin";1197;83;"Nein";"Ja";"Erste Hand";6820
"E";2019;7032;"Benzin";1199;90;"Ja";"Ja";"Erste Hand";8569
"J";2017;18484;"Benzin";1197;83;"Nein";"Nein";"Erste Hand";6820
"E";2008;90000;"Benzin";1799;132;"Nein";"Nein";"Mehr als zweite Hand";4125
"J";2010;176062;"Diesel";1248;76;"Nein";"Nein";"Erste Hand";4400
"H";2008;78000;"Diesel";1997;122;"Ja";"Nein";"Erste Hand";4950
"G";2012;110000;"Diesel";1396;70;"Nein";"Nein";"Zweite Hand";1738
"F";2013;70000;"Diesel";2494;102;"Nein";"Nein";"Erste Hand";7700
"I";2008;60000;"Benzin";1086;68;"Nein";"Nein";"Mehr als zweite Hand";1705
"H";2011;120000;"Diesel";2523;64;"Nein";"Nein";"Mehr als zweite Hand";4070
"F";2017;81000;"Diesel";2393;150;"Nein";"Nein";"Erste Hand";15950
"J";2015;40000;"Benzin";796;48;"Nein";"Nein";"Erste Hand";2695
"I";2013;70000;"Benzin";1197;84;"Nein";"Nein";"Erste Hand";3740
"J";2011;188000;"Diesel";1248;76;"Nein";"Nein";"Zweite Hand";3355
"B";2018;20000;"Benzin";799;54;"Nein";"Nein";"Erste Hand";3740
"B";2018;13120;"Benzin";799;54;"Nein";"Nein";"Erste Hand";4290
"I";2019;19000;"Benzin";1197;83;"Nein";"Nein";"Erste Hand";7700
"J";2008;120000;"Benzin";796;35;"Nein";"Nein";"Zweite Hand";1100
"I";2019;4000;"Benzin";1197;83;"Nein";"Nein";"Erste Hand";7623
"D";2016;73000;"Diesel";1498;100;"Nein";"Nein";"Erste Hand";5060
"I";2019;13000;"Diesel";1396;90;"Nein";"Nein";"Erste Hand";9174
"G";2010;148000;"Diesel";1396;70;"Nein";"Nein";"Zweite Hand";1485
"I";2017;60000;"Diesel";1396;90;"Nein";"Nein";"Erste Hand";10527
"H";2013;80000;"Diesel";2523;64;"Nein";"Nein";"Erste Hand";4400
"J";2018;70000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand";7480
"E";2019;7032;"Benzin";1199;90;"Ja";"Ja";"Erste Hand";8569
"I";2011;155000;"Diesel";1396;91;"Nein";"Nein";"Erste Hand";3520
"J";2015;60000;"Diesel";1248;90;"Nein";"Nein";"Mehr als zweite Hand";6600
"E";2018;1000;"Benzin";1497;119;"Nein";"Ja";"Erste Hand";11935
"H";2012;165000;"Diesel";2523;63;"Nein";"Nein";"Erste Hand";4950
"C";2013;100000;"Diesel";1248;75;"Nein";"Nein";"Mehr als zweite Hand";3850
"J";2007;90000;"Benzin";796;47;"Nein";"Nein";"Zweite Hand";1430
"F";2005;96000;"Benzin";1794;127;"Nein";"Nein";"Zweite Hand";3025
"F";2010;220000;"Diesel";2982;173;"Nein";"Nein";"Zweite Hand";11550
"D";2014;80000;"Diesel";1399;69;"Nein";"Nein";"Erste Hand";3300
"J";2000;56194;"Benzin";796;38;"Nein";"Nein";"Mehr als zweite Hand";341
"J";2017;12000;"Benzin";998;68;"Nein";"Nein";"Erste Hand";4675
"J";2010;60000;"Benzin";1197;87;"Nein";"Nein";"Zweite Hand";3520
"H";2013;173000;"Diesel";2179;122;"Nein";"Nein";"Erste Hand";5269
"J";2018;50000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand";8360
"E";2019;20000;"Benzin";1199;90;"Nein";"Nein";"Erste Hand";7370
"J";2017;40000;"Benzin";796;35;"Nein";"Nein";"Erste Hand";2420
"I";2016;25000;"Benzin";1591;123;"Nein";"Nein";"Erste Hand";8800
"J";2010;100000;"Benzin";796;47;"Nein";"Nein";"Erste Hand";1870
"H";2006;120000;"Diesel";2523;84;"Nein";"Nein";"Zweite Hand";1870
"I";2017;40000;"Diesel";1396;90;"Nein";"Nein";"Erste Hand";8041
"F";2012;100000;"Benzin";1794;140;"Nein";"Ja";"Erste Hand";6050
"J";2013;58343;"Benzin";998;68;"Ja";"Nein";"Erste Hand";2475
"G";2013;80000;"Diesel";2197;140;"Nein";"Nein";"Zweite Hand";4950
"J";2016;38000;"Benzin";1196;74;"Nein";"Nein";"Erste Hand";4312
"H";2009;70000;"Diesel";2523;64;"Nein";"Nein";"Zweite Hand";2970
"I";2016;10000;"Benzin";1197;83;"Nein";"Nein";"Erste Hand";6600
"J";2018;40000;"Benzin";998;68;"Nein";"Nein";"Erste Hand";3850
"J";2018;4773;"Benzin";1197;83;"Ja";"Nein";"Erste Hand";8030
"I";2019;10000;"Diesel";1396;90;"Nein";"Nein";"Erste Hand";9350
"F";2016;127700;"Diesel";2755;174;"Ja";"Ja";"Zweite Hand";18150
"I";2012;100000;"Diesel";1582;128;"Nein";"Nein";"Zweite Hand";4510
"J";2017;19000;"Diesel";1248;75;"Nein";"Ja";"Erste Hand";8250
"F";2013;79328;"Diesel";2494;102;"Ja";"Nein";"Zweite Hand";8250
"J";2005;40000;"Benzin";796;47;"Nein";"Nein";"Zweite Hand";990
"H";2011;80000;"Diesel";2179;122;"Nein";"Nein";"Zweite Hand";6050
"I";2016;80000;"Diesel";1396;90;"Nein";"Nein";"Erste Hand";7920
"J";2018;46000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand";6930
"E";2018;43000;"Diesel";1498;100;"Nein";"Nein";"Erste Hand";7700
"I";2015;108000;"Diesel";1582;128;"Nein";"Nein";"Erste Hand";9350
"J";2017;37000;"Benzin";1197;83;"Ja";"Nein";"Erste Hand";6820
"I";2018;25000;"Diesel";1396;90;"Nein";"Nein";"Erste Hand";13310
"J";2010;170000;"Benzin";1196;74;"Nein";"Nein";"Mehr als zweite Hand";1650
"I";2011;70000;"Benzin";1197;80;"Nein";"Nein";"Erste Hand";2750
"E";2012;60000;"Benzin";1198;88;"Nein";"Nein";"Erste Hand";2915
"I";2007;120000;"Diesel";1493;112;"Nein";"Nein";"Zweite Hand";2695
"J";2016;90000;"Benzin";796;35;"Nein";"Nein";"Erste Hand";2420
"J";2009;40000;"Benzin";796;38;"Nein";"Nein";"Erste Hand";1430
"E";2014;100000;"Diesel";1498;100;"Nein";"Nein";"Zweite Hand";6160
"J";2018;30000;"Benzin";998;68;"Nein";"Ja";"Erste Hand";5170
"A";2011;120000;"Diesel";1896;106;"Nein";"Nein";"Zweite Hand";3850
"I";2016;38000;"Benzin";1197;83;"Nein";"Nein";"Erste Hand";5940
"I";2018;80000;"Diesel";1186;75;"Nein";"Nein";"Erste Hand";6270
"I";2015;100000;"Benzin";1197;83;"Nein";"Ja";"Erste Hand";4400
"J";2020;5500;"Benzin";1197;83;"Nein";"Nein";"Erste Hand";8239
"B";2012;100000;"Diesel";1461;64;"Nein";"Nein";"Mehr als zweite Hand";3300
"J";2017;34000;"Diesel";1248;75;"Nein";"Nein";"Zweite Hand";6875
"J";2015;100000;"Diesel";1248;75;"Nein";"Nein";"Zweite Hand";6303
"J";2019;10000;"Benzin";1197;83;"Nein";"Nein";"Erste Hand";6116
"F";2017;25538;"Benzin";1496;90;"Ja";"Nein";"Erste Hand";6875
"B";2017;20171;"Diesel";1461;110;"Ja";"Ja";"Erste Hand";8250
"J";2015;80000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand";6600
"I";2019;19500;"Benzin";1086;69;"Ja";"Nein";"Erste Hand";4785
"J";2015;23000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand";6050
"E";2012;144030;"Benzin";2354;180;"Nein";"Nein";"Erste Hand";6600
"G";2011;80000;"Diesel";2179;140;"Nein";"Nein";"Zweite Hand";3300
"G";2018;35000;"Benzin";1199;85;"Nein";"Nein";"Erste Hand";5665
"I";2017;56290;"Diesel";1186;75;"Ja";"Nein";"Erste Hand";4950
"J";2016;25000;"Benzin";998;68;"Nein";"Nein";"Erste Hand";4400
"I";2014;72000;"Benzin";1197;83;"Ja";"Nein";"Erste Hand";4565
"J";2010;120000;"Diesel";1248;75;"Nein";"Nein";"Mehr als zweite Hand";2365
"A";2011;106000;"Diesel";1968;140;"Nein";"Ja";"Zweite Hand";6050
"J";2009;90000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand";2640
"H";2018;40000;"Diesel";2179;142;"Nein";"Nein";"Erste Hand";16500
"C";2014;90000;"Diesel";936;57;"Nein";"Nein";"Zweite Hand";2035
"B";2018;35000;"Benzin";999;68;"Nein";"Nein";"Erste Hand";4510
"D";2018;24000;"Diesel";1498;100;"Nein";"Nein";"Erste Hand";8206
"H";2011;190000;"Diesel";1461;66;"Nein";"Nein";"Mehr als zweite Hand";1980
"J";2018;16000;"Diesel";1248;75;"Ja";"Ja";"Erste Hand";8690
"J";2017;10000;"Benzin";998;68;"Nein";"Ja";"Erste Hand";4950
"F";2008;219000;"Diesel";2494;103;"Nein";"Nein";"Zweite Hand";5500
"G";2007;120000;"Diesel";1396;54;"Nein";"Nein";"Mehr als zweite Hand";715
"I";2016;39000;"Diesel";1582;128;"Ja";"Nein";"Erste Hand";9020
"G";2010;140000;"Diesel";1248;76;"Nein";"Nein";"Erste Hand";2530
"G";2010;120000;"Diesel";1248;90;"Nein";"Nein";"Zweite Hand";1650
"J";2008;90000;"Benzin";998;68;"Nein";"Nein";"Zweite Hand";1485
"I";2004;120000;"Benzin";1599;95;"Nein";"Nein";"Mehr als zweite Hand";1210
"G";2018;50000;"Diesel";1047;70;"Nein";"Nein";"Erste Hand";5500
"I";2017;70000;"Diesel";1120;72;"Nein";"Nein";"Zweite Hand";6050
"I";2019;27000;"Diesel";1396;90;"Nein";"Nein";"Erste Hand";11550
"J";2017;58000;"Benzin";796;48;"Nein";"Nein";"Erste Hand";3025
"F";2017;25538;"Benzin";1496;90;"Ja";"Nein";"Erste Hand";6875
"B";2018;10000;"Benzin";799;54;"Nein";"Nein";"Erste Hand";3740
"D";2010;48000;"Benzin";1196;71;"Nein";"Nein";"Erste Hand";2750
"C";2009;80000;"Benzin";1598;104;"Nein";"Nein";"Zweite Hand";2750
"I";2019;9000;"Benzin";1197;83;"Ja";"Nein";"Erste Hand";8635
"D";2011;180000;"Diesel";1399;69;"Nein";"Nein";"Zweite Hand";1430
"I";2016;49200;"Benzin";814;56;"Nein";"Nein";"Erste Hand";3025
"C";2015;50000;"Benzin";1199;84;"Nein";"Nein";"Erste Hand";3850
"I";2016;47000;"Benzin";814;56;"Ja";"Nein";"Erste Hand";3025
"E";2006;100000;"Benzin";1497;79;"Nein";"Nein";"Zweite Hand";2200
"D";2013;90000;"Benzin";1596;101;"Nein";"Nein";"Erste Hand";3850
"J";2009;100000;"Benzin";796;47;"Nein";"Nein";"Erste Hand";1265
"G";2010;65000;"Benzin";1193;65;"Nein";"Nein";"Erste Hand";3190
"D";2011;70000;"Diesel";1399;69;"Nein";"Nein";"Zweite Hand";2255
"E";2015;46000;"Diesel";1498;100;"Nein";"Nein";"Erste Hand";11000
"A";2011;80000;"Diesel";1598;105;"Nein";"Nein";"Zweite Hand";3300
"G";2012;35000;"Diesel";1396;70;"Nein";"Nein";"Erste Hand";2849
"J";2019;10000;"Benzin";1196;74;"Nein";"Nein";"Erste Hand";4510
"H";2019;35000;"Diesel";1493;71;"Nein";"Nein";"Erste Hand";8140
"F";2015;40000;"Diesel";2494;102;"Nein";"Nein";"Erste Hand";12650
"E";2015;63000;"Diesel";1498;100;"Ja";"Nein";"Erste Hand";5775
"C";2016;30000;"Benzin";1199;84;"Nein";"Nein";"Erste Hand";4400
"J";2010;190000;"Diesel";1248;76;"Nein";"Nein";"Zweite Hand";2200
"J";2008;48676;"Benzin";796;35;"Nein";"Nein";"Erste Hand";1210
"J";2014;70000;"Diesel";1248;75;"Nein";"Nein";"Zweite Hand";6270
"G";2016;120000;"Diesel";2179;150;"Nein";"Nein";"Erste Hand";9900
"I";2017;5000;"Benzin";1197;83;"Nein";"Nein";"Erste Hand";6600
"J";2018;15000;"Benzin";796;48;"Nein";"Nein";"Zweite Hand";3300
"H";2016;71000;"Diesel";1493;101;"Nein";"Nein";"Erste Hand";8250
"E";2015;80000;"Benzin";1199;90;"Nein";"Ja";"Erste Hand";6600
"E";2019;7032;"Benzin";1199;90;"Ja";"Ja";"Erste Hand";8569
"F";2017;50000;"Diesel";2755;174;"Nein";"Ja";"Erste Hand";23925
"G";2015;110000;"Diesel";2179;150;"Nein";"Nein";"Erste Hand";5533
"J";2009;117000;"Diesel";1248;76;"Nein";"Nein";"Erste Hand";3069
"J";2015;120000;"Diesel";1248;90;"Nein";"Nein";"Zweite Hand";7700
"E";2019;7032;"Benzin";1199;90;"Ja";"Ja";"Erste Hand";8569
"G";2008;100000;"Benzin";1193;66;"Nein";"Nein";"Erste Hand";2750
"J";2017;40000;"Benzin";998;68;"Nein";"Nein";"Erste Hand";4202
"J";2018;40000;"Benzin";1197;83;"Nein";"Ja";"Erste Hand";5500
"J";2017;20000;"Benzin";998;68;"Nein";"Ja";"Erste Hand";4730
"J";2006;150000;"Benzin";796;47;"Nein";"Nein";"Zweite Hand";935
"A";2017;34000;"Diesel";1498;110;"Nein";"Ja";"Erste Hand";6875
"J";2009;90000;"Benzin";796;47;"Nein";"Nein";"Mehr als zweite Hand";1870
"J";2012;48000;"Benzin";998;68;"Nein";"Nein";"Erste Hand";2772
"E";2014;27233;"Diesel";1498;100;"Ja";"Nein";"Erste Hand";5115
"I";2013;40000;"Benzin";814;56;"Nein";"Nein";"Zweite Hand";3190
"H";2017;90000;"Diesel";2179;122;"Nein";"Nein";"Erste Hand";11550
"G";2018;35000;"Benzin";1193;90;"Nein";"Nein";"Erste Hand";5060
"J";2009;59000;"Benzin";796;47;"Nein";"Nein";"Zweite Hand";1870
"F";2015;25000;"Diesel";1364;68;"Nein";"Nein";"Erste Hand";4950
"J";2008;19000;"Benzin";796;47;"Nein";"Nein";"Erste Hand";1408
"D";2016;45217;"Diesel";1498;100;"Ja";"Nein";"Erste Hand";4400
"J";2015;15000;"Diesel";1248;90;"Nein";"Nein";"Erste Hand";8800
"H";2019;28000;"Diesel";2179;155;"Nein";"Nein";"Erste Hand";17050
"I";2016;80000;"Benzin";1197;83;"Nein";"Nein";"Erste Hand";4400
"F";2005;200000;"Diesel";2494;103;"Nein";"Nein";"Zweite Hand";3410
